x,y
39.82,12.49
38.25,12.4
36.24,12.67
34.71,13.54
31.88,12.8
25.77,14.37
20.53,16.86
15.91,21.83
14.77,28.38
19.57,33.83
26.25,37.54
30.92,37.76
34.58,38.68
42.96,38.24
49.6,40.25
57.06,40.03
67.84,34.05
70.11,26.41
67.93,19.47
65.44,17.29
59.68,14.15
52.65,12.4
42.26,12.06
34.67,11.14
28.47,11.49
21.36,15.11
16.47,21.39
15.47,30.38
18.35,35.4
25.72,37.76
32.93,38.54
42.92,37.54
50.99,38.02
58.76,38.06
67.05,35.62
70.54,27.46
68.67,21.57
62.51,15.9
53.35,13.84
45.06,14.54
37.86,13.8
30.83,13.8
24.98,15.07
16.82,20.43
14.99,27.5
18.61,34.84
25.46,38.33
30.44,40.6
39.34,41.08
48.9,40.38
56.97,42.3
66.27,38.33
70.15,32.13
70.33,24.32
65.26,17.34
56.1,13.19
49.77,12.1
42.26,13.32
34.23,13.1
27.03,14.32
20.4,17.51
15.95,22.53
16.47,32.3
21.45,37.06
28.08,40.6
37.42,41.69
47.24,40.81
55.71,40.86
64.43,39.29
70.28,32.26
70.81,23.71
65.35,17.9
56.45,14.46
47.55,14.15
41.22,14.37
33.01,14.41
28.65,14.15
23.46,16.77
18.44,20.48
16.43,26.81
18.26,32.52
26.16,36.76
35.89,37.41
44.01,37.89
