x,y
39.82,17.07
38.34,17.25
36.42,17.38
34.67,17.34
32.66,17.38
25.51,17.77
18.92,19.95
17.08,25.02
15.95,30.47
19.48,34.79
27.51,38.06
31.75,40.25
35.63,40.07
44.1,40.46
51.95,40.46
59.55,38.5
69.06,32.74
70.11,24.1
66.22,18.64
63.43,16.38
56.05,15.9
49.55,15.63
40.96,15.76
32.62,15.59
26.6,15.76
18.83,19.08
14.6,25.67
15.21,32.17
19.4,36.76
26.47,39.64
34.41,40.9
44.4,41.51
53.92,41.91
62.47,39.9
68.89,34.7
70.41,26.15
68.14,20.65
60.33,14.94
50.91,12.71
42.48,13.67
34.1,13.54
26.47,14.11
20.71,17.03
14.47,22.49
15.34,30.03
18.83,35.93
26.64,38.89
32.79,40.12
41.96,39.94
51.04,40.94
59.28,40.99
67.49,36.84
70.85,29.69
69.89,22.66
63.74,16.9
54.44,15.72
47.59,14.94
40.48,15.15
32.27,14.72
25.16,15.72
19.09,18.69
15.47,24.27
17.65,34.18
24.28,37.32
30.61,39.11
39.56,39.24
48.64,39.94
56.97,39.72
65.39,37.8
70.59,30.47
70.28,22.83
64.13,17.55
54.61,15.11
45.28,15.46
39.17,15.5
32.01,15.07
26.73,14.8
22.02,17.6
17.91,21.31
15.77,28.2
18.13,34.14
25.81,37.89
35.89,38.15
43.62,38.59
